Text#,Title,Authors
22132,Giants on the Earth,"Meek, S. P. (Sterner St. Paul), 1894-1972"
22154,Creatures of Vibration,"Vincent, Harl, 1893-1968"
22171,The Radiant Shell,"Ernst, Paul, 1899-1985"
22176,The Winged Men of Orcon: A Complete Novelette,"Sparks, David R."
22216,Project Mastodon,"Simak, Clifford D., 1904-1988"
22218,The Street That Wasn't There,"Jacobi, Carl, 1908-1997; Simak, Clifford D., 1904-1988"
22226,The Whispering Spheres,"Winterbotham, R. R. (Russell Robert), 1904-1971"
22227,The 4-D Doodler,"Waldeyer, Graph"
22239,Security,"Anderson, Poul, 1926-2001"
22301,Valley of Dreams,"Weinbaum, Stanley G. (Stanley Grauman), 1902-1935"
22332,Brain Twister,"Garrett, Randall, 1927-1987; Janifer, Laurence M., 1933-2002"
22338,The Impossibles,"Garrett, Randall, 1927-1987; Janifer, Laurence M., 1933-2002"
22342,Supermind,"Garrett, Randall, 1927-1987; Janifer, Laurence M., 1933-2002"
22346,Exile,"Fyfe, H. B. (Horace Bowne), 1918-1997"
22426,The Players,"Cole, Everett B., 1910-2001"
22462,Slingshot,"Lande, Irving W.; Emshwiller, Ed, 1925-1990 [Illustrator]"
22466,The Ultimate Experiment,"DeKy, Thornton"
22467,Sand Doom,"Leinster, Murray, 1896-1975"
22470,The Bell Tone,"Leftwich, Edmund Harry"
22512,The Stutterer,"Merliss, Reuben (Reuben Robert), 1915-1987"
22513,Sense from Thought Divide,"Clifton, Mark, 1906-1963; Van Dongen, H. R., 1920-2010 [Illustrator]"
22524,The Hunters,"Samachson, Joseph, 1906-1980; Van Dongen, H. R., 1920-2010 [Illustrator]"
22526,Cubs of the Wolf,"Jones, Raymond F., 1915-1994"
22527,Beyond the Vanishing Point,"Cummings, Ray, 1887-1957"
22538,The Devil's Asteroid,"Wellman, Manly Wade, 1903-1986"
22540,The K-Factor,"Harrison, Harry, 1925-2012"
22541,The Misplaced Battleship,"Harrison, Harry, 1925-2012; Schoenherr, John, 1935-2010 [Illustrator]"
22544,A World is Born,"Brackett, Leigh, 1915-1978"
22545,Warning from the Stars,"Cocking, Ron; Summers, Leo, 1925-1985 [Illustrator]"
22549,Space Prison,"Godwin, Tom, 1915-1980"
22559,The Day of the Boomer Dukes,"Pohl, Frederik, 1919-2013; Emshwiller, Ed, 1925-1990 [Illustrator]"
22560,The Worshippers,"Knight, Damon, 1922-2002; Emshwiller, Ed, 1925-1990 [Illustrator]"
22579,Bread Overhead,"Leiber, Fritz, 1910-1992; Wood, Wallace, 1927-1981 [Illustrator]"
22580,"Het Geheimzinnige Eiland
De Verlatene","Verne, Jules, 1828-1905"
22585,—And Devious the Line of Duty,"Godwin, Tom, 1915-1980; Schelling, George, 1938- [Illustrator]"
22589,"Jubilation, U.S.A.","Vandenburg, G. L."
22590,Wind,"Fontenay, Charles L., 1917-2007"
22596,Measure for a Loner,"Harmon, Jim, 1933-2010"
22597,Question of Comfort,"Cole, Les, 1904-1985"
22623,Divinity,"Samachson, Joseph, 1906-1980; Freas, Kelly, 1922-2005 [Illustrator]"
22629,The Vortex Blaster,"Smith, E. E. (Edward Elmer), 1890-1965; Forte, John R. (John Robert), 1918-1966 [Illustrator]"
